F1,F2,F3,F4,F5,Ex1,Ex2,Ex3,Avg
4,30,20,0.1,0.5,0.0008057512660113175,0.0009221515490692722,0.0008124892105133841,0.0008467973418646579
4,120,70,0.8,0.25,0.00042739874541621037,0.00030624878437646164,0.0004917459272520686,0.00040846448568158017
4,130,170,0.8,0.3,0.00030103852043872337,0.0004482215683740687,0.0003896412412671968,0.0003796337766933296
4,180,110,0.75,0.1,0.00038039167693912357,0.0003411686959173127,0.00040896974322089663,0.0003768433720257776
4,80,60,0.2,0.15,0.0006021014967540622,0.0005265571517958645,0.0004509081333353704,0.0005265222606284323
4,190,90,0.45,0.45,0.0003146888077780463,0.0003849666363809068,0.0003592651700920768,0.00035297353808367665
4,100,120,0.55,0.5,0.000420305239190108,0.0004587590891294291,0.00044518039261386144,0.0004414149069777995
4,70,20,0.55,0.1,0.0004764408317770724,0.000490919837767903,0.0005447146289479787,0.0005040250994976514
4,10,70,0.15,0.3,0.002693949029943854,0.0021184009756719246,0.002061866321566297,0.0022914054423940253
4,180,70,0.15,0.35,0.0003554211632060822,0.0003745092328216182,0.00037103169397730007,0.00036698736333500015
4,90,70,0.1,0.2,0.0004620884713456008,0.0004702000820259178,0.00043142211019468746,0.00045457022118873536
4,70,180,0.6,0.5,0.0003406680495766645,0.000522756929715068,0.0005685362170245178,0.0004773203987720835
4,170,50,0.5,0.15,0.00039236604943050646,0.0002940083880842159,0.0003676440606079634,0.0003513394993742286
4,60,80,0.8,0.45,0.0005256512693004034,0.000508597339306055,0.0005862943734882414,0.0005401809940315666
4,70,60,0.75,0.3,0.0006976721163043237,0.0006255705216434287,0.0004935448927989444,0.0006055958435822323
4,170,20,0.7,0.15,0.0003225965725230928,0.00028563636046230467,0.00039065807412994036,0.00033296366903844593
4,150,140,0.55,0.3,0.0003778914511737008,0.00035074128337081456,0.0003562133112324506,0.00036161534859232197
4,60,20,0.85,0.2,0.0006602401739146668,0.0005270304526439895,0.000570172456500137,0.0005858143610195978
4,110,60,0.65,0.2,0.00035888643792691965,0.0004246870057962454,0.0003748460936267989,0.00038613984578332133
4,100,190,0.2,0.25,0.00042741248526670383,0.00036326079386418686,0.0005170698264366502,0.00043591436852251364
5,90,140,0.35,0.25,0.00045215196011415965,0.0004966105597868573,0.0005270300676493995,0.0004919308625168055
5,90,190,0.45,0.3,0.00042725715826332986,0.00044470000685110575,0.0005183563718916505,0.00046343784566869536
5,100,80,0.2,0.3,0.0004552727192987313,0.0003858106360321509,0.0003961794582218528,0.00041242093785091166
5,180,180,0.4,0.5,0.0003227238964400893,0.00040148595793089784,0.00029968995616521873,0.00034129993684540197
5,180,100,0.75,0.35,0.00030998311394351587,0.0003662477747679183,0.00042555645063880806,0.00036726244645008077
5,80,160,0.35,0.35,0.00040752357885835006,0.0005058948135999337,0.0004501277684877403,0.000454515386982008
5,110,90,0.1,0.35,0.0004810273900385416,0.00040353296846054945,0.00040409320425608894,0.00042955118758506
5,80,60,0.35,0.25,0.00039132013919144365,0.0005234960929412363,0.0004827507733421929,0.0004658556684916243
5,50,50,0.9,0.1,0.000566697642077521,0.0006510607057368598,0.0006456386645831182,0.000621132337465833
5,20,60,0.45,0.2,0.0008547587359585499,0.0011007017723539056,0.0010183466143586315,0.0009912690408903624
5,100,160,0.9,0.5,0.00038099359655936055,0.00047667230877511575,0.0005137560400584208,0.000457140648464299
5,20,50,0.25,0.45,0.0008076312244729954,0.0011546070440548537,0.001069908633406622,0.001010715633978157
5,20,40,0.85,0.2,0.0010284622496423007,0.0011799091114652258,0.0007692617783438341,0.0009925443798171202
5,190,140,0.55,0.2,0.00029818813628470706,0.0003093446996252046,0.0003844356697655666,0.00033065616855849277
5,10,150,0.85,0.2,0.0015764237619643132,0.0032974362332453804,0.0013602169121042246,0.002078025635771306
5,10,50,0.4,0.5,0.001685216741548071,0.001132509202473219,0.0028589498384645994,0.0018922252608286297
5,40,50,0.65,0.35,0.0007332596569874471,0.0006389790733542164,0.0006722882214394866,0.00068150898392705
5,160,40,0.1,0.1,0.00046442471312781175,0.00032864288139654654,0.0004503655799429091,0.00041447772482242247
5,140,40,0.4,0.35,0.0004478066769434963,0.000412171102760258,0.00040213494875186717,0.0004207042428185405
5,60,160,0.35,0.5,0.0004470961467840113,0.0004962333286277799,0.0004428543222146225,0.00046206126587547126
5,60,110,0.5,0.35,0.0005459646173689801,0.0006623909515262628,0.0005473022374740347,0.0005852192687897592
5,50,110,0.75,0.3,0.00066238661080089,0.0006926462465192788,0.0004588470000721854,0.0006046266191307848
5,10,60,0.85,0.5,0.0015835430917530806,0.0032884247148219827,0.0024916323911600147,0.002454533399245026
5,70,150,0.55,0.2,0.0004815495830814698,0.0006261569854160154,0.0005359992878890725,0.0005479019521288526
5,140,20,0.25,0.2,0.00032995406326377305,0.0004124459457981143,0.0004216082096496227,0.00038800273957050334
5,190,40,0.15,0.2,0.00033299694452925896,0.0002317377746212726,0.00035140659558990407,0.0003053804382468119
5,110,130,0.8,0.4,0.00045585522560519405,0.0004622150875207634,0.0004963540013302181,0.00047147477148539184
5,70,150,0.45,0.15,0.0005949701259328373,0.0005623918729977199,0.0005364327588865993,0.0005645982526057188
5,160,40,0.45,0.45,0.00031045823161319,0.0004811216125942021,0.00036094801513161107,0.00038417595311300107
5,100,20,0.15,0.45,0.00035487488849636484,0.00033255552886773954,0.00040455889584605983,0.0003639964377367214
5,10,180,0.15,0.35,0.0020035435127756743,0.0039606471907115606,0.001392582553909786,0.0024522577524656738
5,160,140,0.8,0.25,0.0003312891850301043,0.00042494657574651193,0.0002856641539753617,0.00034729997158399264
5,40,30,0.55,0.35,0.0010085426433046416,0.0005993189584553044,0.0008274260946336855,0.0008117625654645438
5,140,120,0.5,0.2,0.00047128885208777213,0.00037023017292423833,0.00034998497992935057,0.00039716800164712036
5,130,40,0.25,0.45,0.0004594682036028093,0.00038423991542178154,0.00035014377962975726,0.0003979506328847827
5,130,190,0.5,0.15,0.0003663741935627327,0.00047299245328051055,0.00037258524930609827,0.00040398396538311385
5,120,90,0.35,0.45,0.00038186529422724533,0.0003957383116647926,0.0005125426163754658,0.0004300487407558346
5,140,110,0.9,0.3,0.0004462142154523438,0.00039871895130493343,0.00040381958906420164,0.00041625091860715964
5,150,80,0.45,0.3,0.0003715302570159139,0.00035273346543209655,0.0002845410234786107,0.00033626824864220706
5,160,120,0.2,0.5,0.00028622450791074283,0.000277224421294674,0.00034394898357788944,0.00030246597092776877
5,110,140,0.25,0.25,0.0005120676338730111,0.0004585293243298764,0.00043335362964537494,0.0004679835292827541
5,100,130,0.1,0.2,0.0004275738424933135,0.00040900240614868966,0.00043999357529290496,0.0004255232746449694
5,10,100,0.75,0.25,0.002959236933051234,0.0026169114455050838,0.004075110556170344,0.003217086311575554
5,30,170,0.7,0.5,0.0007861401356716678,0.0006423277123880581,0.0005854486049516744,0.0006713054843371334
5,70,30,0.1,0.15,0.0005287170727084206,0.0005610283286291585,0.0006759565323204327,0.0005885673112193372
5,80,160,0.75,0.5,0.0005368453649159614,0.00038914548076385454,0.0005293020741612871,0.0004850976399470343
5,120,190,0.9,0.35,0.0004141989757574585,0.0004208457124088051,0.00040676557070683933,0.00041393675295770097
5,80,130,0.45,0.35,0.0005291359773959281,0.0004580531876350845,0.0005138457840592071,0.0005003449830300733
5,20,190,0.1,0.5,0.0012567499192076871,0.0011409341340102748,0.0017098840170042227,0.0013691893567407281
5,20,130,0.7,0.3,0.0006611593901465797,0.0014576556180933512,0.0008754092263145927,0.0009980747448515078
5,30,130,0.65,0.45,0.0007400880709318592,0.0006295228260668612,0.000809642268766066,0.0007264177219215955
5,60,80,0.1,0.5,0.0005489698733270182,0.000467453908257906,0.0005613639473079513,0.0005259292429642919
5,50,80,0.45,0.5,0.0007564222137380634,0.0007323499710857485,0.0006508163898852476,0.0007131961915696865
5,130,180,0.2,0.15,0.00031367612825258795,0.00035607336015044434,0.00032525749886900407,0.00033166899575734547
5,110,90,0.15,0.4,0.00035527612002461163,0.00044452146721454984,0.00031948033687102285,0.00037309264137006144
5,130,150,0.75,0.45,0.00045329448116381704,0.000435278427125799,0.00034181585019395916,0.00041012958616119176
5,40,190,0.25,0.1,0.0006127399288154319,0.000624834877200442,0.0007750552492351986,0.0006708766850836908
5,110,120,0.5,0.5,0.0003829936915724537,0.0004772936680534287,0.00046837245931651353,0.00044288660631413196
5,140,70,0.9,0.15,0.00031259737093871504,0.00044709133943175196,0.0004284724934550052,0.00039605373460849073
5,30,100,0.7,0.5,0.0005936175554316844,0.0008739582730140638,0.0006608067369583692,0.0007094608551347059
